Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression C=1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression C=0.01,0.9999461796523206,0.9998509464897898,1.0,0.9999254676902437,0.9999999944193042
