Column,Q1,Q3,IQR,Lower Bound,Upper Bound,Outlier Count,Outlier Percentage
glucose,100.0,160.0,60.0,10.0,250.0,2028,0.73
HbA1c_level,5.39,6.87,1.48,3.17,9.08,0,0.0
